ID	CODE	CATEG	GROUPE 	NOM	SITE	QT	COULEUR	TEXTURE	LUSTRE	TRANSPARENCE	STRUCTURE	GRAIN	CASSURE	DESCRIPTION
1	mat045	Indéterminé	Groupe 0	Matière indéterminée	1	1	Gris très foncé	Mat	Mat	Opaque	Homogène	Fin	Sub-conchoïdale (?)	Matière indéterminée à matrice microcristalline. Composé de nombreuses taches blanches ou jaunâtres semblant siliceuses et généralement en surface. Pourrait également être des rhombèdres lessivés? Nombreuses inclusions foncées partout dans la matrice observables à 200x. Occurence unique. Chert?
2	mat034	Chert	Groupe 1	Chert 1	1	1	Noir	Cireux à aphanitique	Lustré	Opaque	Homogène	Aphanitique	Conchoïdale	Chert à matrice microcristalline, voir cryptocristalline. Composé de nombreux fossiles (spicules?), inclusions rouges et jaunes et d'enfumures blanches discrètes. Occurence unique.
3	mat036	Chert	Groupe 1	Chert 2	3	7	Gris foncé, gris foncé brunâtre	Mat à cireux	Moyennement lustré	Semi-translucide	Homogène, moutonné?	Fin à aphanitique	Conchoïdale	Chert à matrice microcristalline à cryptocristalline. Composé de nombreuses inclusions siliceuses blanches partout dans la matrice, quelques inclusions foncés. Les inclusions semblent suivre le même axe de dispersion. Les inclusions peuvent aussi être distrbuées de façon circulaire. Possible fossiles transformés en silice.
4	mat042	Chert	Groupe 1	Chert 3	2	6	Beige grisâtre	Cireux à aphanitique	Lustré	Translucide	Veiné ou rubané	Aphanitique	Conchoïdale	Chert à matrice cryptocristalline. Composé de veine un peu plus foncée que la matrice. Possiblement associé à mat040.
5	mat049	Chert	Groupe 1	Chert 4	1	1	Brun rougeâtre très foncé	Cireux	Moyennement lustré	Opaque	Rubanné?	Fin	Conchoïdale	Chert à matrice microcristalline. Composé de veines de calcédoines, fossiles, rhomboèdres (?). Présence de vacuoles de minéraux dissouts en surface. Occurence unique.
6	mat053	Chert	Groupe 1	Chert 5	1	1	Gris, noir	Cireux à aphanitique	Moyennement lustré	Semi-translucide	Rubané	Aphanitique	Conchoïdale	Chert à matrice cryptocristalline. Composé de très petits inclusions foncés qui sont peut-être la même composante que les rubans foncés. Les rubans ont un aspect un peu enfumé.
7	mat054	Chert	Groupe 1	Chert 6	1	1	Vert grisâtre foncé	Aphanitique	Moyennement lustré	Translucide	Veiné (?)	Aphanitique	Conchoïdale	Chert à matrice cryptocristalline. Composé d'inclusions rondes plus pâle que la matrice (radiolaires) et de petites inclusions foncées. Possiblement apparenté aux cherts appalachiens (ex. Aubin).
8	mat028	Chert	Groupe 1	Chert 7	1	1	Brun foncé	Cireux	Moyennement lustré	Translucide	Homogène	Fin à aphanitique	Conchoïdale	Chert à matrice cryptocristalline. Composé de nombreuses taches blanches informes, nuageuses, rares inclusions rougeâtres. Possiblement du silex européen brun foncé.
9	mat051	Chert	Groupe 1	Chert 8	1	1	Noir	Mat à cireux	Moyennement lustré	Opaque ou semi-translucide	Homogène	Fin	Conchoïdale	Chert à matrice microcristalline. Semble d'origine calcaire puisqu'on observe quelques très subtiles rhomboèdres de carbonates. Composé d'inclusions rougeâtres et jaunâtres. Difficile à identifier sans Dino-Lite et rétroéclairage. Occurence unique.
10	mat043	Chert	Groupe 1	Chert 9	1	1	Gris verdâtre	Cireux	Moyennement lustré	Semi-translucide	Veiné	Fin	Conchoïdale	Chert à matrice microcristalline. Principalement caractérisé par ses minces veines plus foncées que la matrice. Présence de très rares taches blanchâtres. Occurence unique.
